"model","case","R","Var_a","method","n","mean_MSPE","MCSE","lower","upper","R_factor","Var_a_label"
"Random-intercept model (RI)",5,10,0.5,"CIRG",20,9.40644807490327,0.0778499774381639,9.25386211912447,9.55903403068208,"10","Var(a) = 0.50"
"Random-intercept model (RI)",5,10,0.5,"KM",20,9.40624982548553,0.0780100923967089,9.25335004438799,9.55914960658308,"10","Var(a) = 0.50"
"Random-intercept model (RI)",5,10,0.5,"BLM",20,9.40809441861661,0.0779162373893993,9.25537859333339,9.56081024389983,"10","Var(a) = 0.50"
"Random-intercept model (RI)",5,10,0.5,"CPF",20,9.4072124236516,0.0779626278371612,9.25440567309077,9.56001917421244,"10","Var(a) = 0.50"
"Random-intercept model (RI)",5,10,0.5,"OBS",20,9.40657678414077,0.0780067204569659,9.25368361204511,9.55946995623642,"10","Var(a) = 0.50"
"Random-intercept model (RI)",5,10,0.5,"LM",20,9.40612086635636,0.0779859320712756,9.25326843949666,9.55897329321606,"10","Var(a) = 0.50"
"Random-intercept model (RI)",5,20,0.5,"ORACLE",20,9.00584467032377,0.0529714620417692,8.90202060472191,9.10966873592564,"20","Var(a) = 0.50"
"Random-intercept model (RI)",5,20,0.5,"CIRG",20,9.42940067627418,0.0716493554898698,9.28896793951404,9.56983341303433,"20","Var(a) = 0.50"
"Random-intercept model (RI)",5,20,0.5,"KM",20,9.4289197622267,0.0716470752534268,9.28849149472999,9.56934802972342,"20","Var(a) = 0.50"
"Random-intercept model (RI)",5,20,0.5,"BLM",20,9.44631280254033,0.0725907273757099,9.30403497688394,9.58859062819672,"20","Var(a) = 0.50"
"Random-intercept model (RI)",5,20,0.5,"CPF",20,9.43874253433885,0.0721851310737771,9.29725967743425,9.58022539124346,"20","Var(a) = 0.50"
"Random-intercept model (RI)",5,20,0.5,"OBS",20,9.43143900867662,0.0716820887939024,9.29094211464058,9.57193590271267,"20","Var(a) = 0.50"
"Random-intercept model (RI)",5,20,0.5,"LM",20,9.42891385018421,0.0716448997017698,9.28848984676874,9.56933785359968,"20","Var(a) = 0.50"
"Random-intercept model (RI)",5,50,0.5,"ORACLE",20,9.04301524512921,0.0520557413851699,8.94098599201428,9.14504449824415,"50","Var(a) = 0.50"
"Random-intercept model (RI)",5,50,0.5,"CIRG",20,9.44232815342556,0.0506894999660354,9.34297673349213,9.54167957335899,"50","Var(a) = 0.50"
"Random-intercept model (RI)",5,50,0.5,"KM",20,9.44270520658974,0.0506340410923236,9.34346248604879,9.5419479271307,"50","Var(a) = 0.50"
"Random-intercept model (RI)",5,50,0.5,"BLM",20,9.48360135501919,0.0511595252368686,9.38332868555493,9.58387402448346,"50","Var(a) = 0.50"
"Random-intercept model (RI)",5,50,0.5,"CPF",20,9.45435054615254,0.0513279423896547,9.35374777906882,9.55495331323627,"50","Var(a) = 0.50"
"Random-intercept model (RI)",5,50,0.5,"OBS",20,9.4430198190494,0.0505760486931799,9.34389076361076,9.54214887448803,"50","Var(a) = 0.50"
"Random-intercept model (RI)",5,50,0.5,"LM",20,9.44262473445002,0.0506560261673093,9.34333892316209,9.54191054573795,"50","Var(a) = 0.50"
"Random-intercept model (RI)",5,10,2.25,"ORACLE",20,8.99865740193351,0.049701026818421,8.90124338936941,9.09607141449762,"10","Var(a) = 2.25"
"Random-intercept model (RI)",5,10,2.25,"CIRG",20,10.8529799456761,0.221119208268337,10.4195862974702,11.286373593882,"10","Var(a) = 2.25"
"Random-intercept model (RI)",5,10,2.25,"KM",20,10.8521620368999,0.221233208295769,10.4185449486402,11.2857791251597,"10","Var(a) = 2.25"
"Random-intercept model (RI)",5,10,2.25,"BLM",20,10.8543781010079,0.221143174460168,10.420937479066,11.2878187229499,"10","Var(a) = 2.25"
"Random-intercept model (RI)",5,10,2.25,"CPF",20,10.8535916781818,0.22120894717879,10.4200221417114,11.2871612146523,"10","Var(a) = 2.25"
"Random-intercept model (RI)",5,10,2.25,"OBS",20,10.8526058570701,0.221244516312827,10.4189666050969,11.2862451090432,"10","Var(a) = 2.25"
"Random-intercept model (RI)",5,10,2.25,"LM",20,10.8521446903963,0.221222436604826,10.4185487146508,11.2857406661417,"10","Var(a) = 2.25"
"Random-intercept model (RI)",5,20,2.25,"ORACLE",20,9.00753973659302,0.0532059825122985,8.90325601086891,9.11182346231712,"20","Var(a) = 2.25"
"Random-intercept model (RI)",5,20,2.25,"CIRG",20,11.0151976087418,0.183728183328893,10.6550903694171,11.3753048480664,"20","Var(a) = 2.25"
"Random-intercept model (RI)",5,20,2.25,"KM",20,11.0148492281049,0.183782088905935,10.6546363338492,11.3750621223605,"20","Var(a) = 2.25"
"Random-intercept model (RI)",5,20,2.25,"BLM",20,11.0369895160875,0.184804278371316,10.6747731304798,11.3992059016953,"20","Var(a) = 2.25"
"Random-intercept model (RI)",5,20,2.25,"CPF",20,11.0270684756143,0.184533966297542,10.6653819016711,11.3887550495575,"20","Var(a) = 2.25"
"Random-intercept model (RI)",5,20,2.25,"OBS",20,11.0180055115024,0.183889318914432,10.6575824464301,11.3784285765747,"20","Var(a) = 2.25"
"Random-intercept model (RI)",5,20,2.25,"LM",20,11.0148303601666,0.18377791291495,10.6546256508533,11.3750350694799,"20","Var(a) = 2.25"
"Random-intercept model (RI)",5,50,2.25,"ORACLE",20,9.04769489994263,0.0523461206883449,8.94509650339347,9.15029329649178,"50","Var(a) = 2.25"
"Random-intercept model (RI)",5,50,2.25,"CIRG",20,11.011784979959,0.108155614600874,10.7997999753413,11.2237699845767,"50","Var(a) = 2.25"
"Random-intercept model (RI)",5,50,2.25,"KM",20,11.0116096803366,0.108141048672539,10.7996532249385,11.2235661357348,"50","Var(a) = 2.25"
"Random-intercept model (RI)",5,50,2.25,"BLM",20,11.0558258837188,0.109993386222344,10.840238846723,11.2714129207146,"50","Var(a) = 2.25"
"Random-intercept model (RI)",5,50,2.25,"CPF",20,11.0280272029129,0.110084935745198,10.8122607288524,11.2437936769735,"50","Var(a) = 2.25"
"Random-intercept model (RI)",5,50,2.25,"OBS",20,11.012007545209,0.108121627796689,10.8000891547275,11.2239259356905,"50","Var(a) = 2.25"
"Random-intercept model (RI)",5,50,2.25,"LM",20,11.0115389977609,0.108151483802266,10.7995620895085,11.2235159060134,"50","Var(a) = 2.25"
"Random-slope model (RS)",5,10,0.5,"ORACLE",20,9.52177099468113,0.0606887349939409,9.402821074093,9.64072091526925,"10","Var(a) = 0.50"
"Random-slope model (RS)",5,10,0.5,"CIRG",20,14.7800387932015,0.14184818724815,14.5020163461951,15.0580612402078,"10","Var(a) = 0.50"
"Random-slope model (RS)",5,10,0.5,"KM",20,14.7802103868235,0.141813152826889,14.5022566072828,15.0581641663642,"10","Var(a) = 0.50"
"Random-slope model (RS)",5,10,0.5,"BLM",20,14.779230949037,0.142081978221147,14.5007502717236,15.0577116263505,"10","Var(a) = 0.50"
"Random-slope model (RS)",5,10,0.5,"CPF",20,14.7838836202995,0.142268195221019,14.5050379576664,15.0627292829327,"10","Var(a) = 0.50"
"Random-slope model (RS)",5,10,0.5,"OBS",20,14.7827547577158,0.142352528025396,14.5037438027861,15.0617657126456,"10","Var(a) = 0.50"
"Random-slope model (RS)",5,10,0.5,"LM",20,14.779230949037,0.142081978221147,14.5007502717236,15.0577116263505,"10","Var(a) = 0.50"
"Random-slope model (RS)",5,20,0.5,"ORACLE",20,10.0662274662718,0.0598338874538001,9.94895304686237,10.1835018856813,"20","Var(a) = 0.50"
"Random-slope model (RS)",5,20,0.5,"CIRG",20,15.2733439639257,0.102800146737165,15.0718556763208,15.4748322515305,"20","Var(a) = 0.50"
"Random-slope model (RS)",5,20,0.5,"KM",20,15.2737662515677,0.102840593856761,15.0721986876084,15.4753338155269,"20","Var(a) = 0.50"
"Random-slope model (RS)",5,20,0.5,"BLM",20,15.2726599814015,0.10281860045498,15.0711355245097,15.4741844382933,"20","Var(a) = 0.50"
"Random-slope model (RS)",5,20,0.5,"CPF",20,15.2806424189466,0.103835121061989,15.0771255816651,15.4841592562281,"20","Var(a) = 0.50"
"Random-slope model (RS)",5,20,0.5,"OBS",20,15.275845873448,0.103066810689745,15.0738349244961,15.4778568223999,"20","Var(a) = 0.50"
"Random-slope model (RS)",5,20,0.5,"LM",20,15.2726599814015,0.10281860045498,15.0711355245097,15.4741844382933,"20","Var(a) = 0.50"
"Random-slope model (RS)",5,50,0.5,"ORACLE",20,11.2170870908166,0.0739165718806481,11.0722106099305,11.3619635717026,"50","Var(a) = 0.50"
"Random-slope model (RS)",5,50,0.5,"CIRG",20,15.6784513133247,0.0879189991957751,15.506130074901,15.8507725517484,"50","Var(a) = 0.50"
"Random-slope model (RS)",5,50,0.5,"KM",20,15.6781856821671,0.0879666971120354,15.5057709558275,15.8506004085067,"50","Var(a) = 0.50"
"Random-slope model (RS)",5,50,0.5,"BLM",20,15.6772758731559,0.0879143209284894,15.5049638041361,15.8495879421758,"50","Var(a) = 0.50"
"Random-slope model (RS)",5,50,0.5,"CPF",20,15.7295164344058,0.0867928096582661,15.5594025274756,15.899630341336,"50","Var(a) = 0.50"
"Random-slope model (RS)",5,50,0.5,"OBS",20,15.6908062471165,0.0865065289987406,15.521253450279,15.860359043954,"50","Var(a) = 0.50"
"Random-slope model (RS)",5,50,0.5,"LM",20,15.6772758731559,0.0879143209284894,15.5049638041361,15.8495879421758,"50","Var(a) = 0.50"
"Random-slope model (RS)",5,10,2.25,"ORACLE",20,9.52148717557705,0.0605372270465689,9.40283421056578,9.64014014058833,"10","Var(a) = 2.25"
"Random-slope model (RS)",5,10,2.25,"CIRG",20,16.2737356374692,0.256566596877425,15.7708651075895,16.776606167349,"10","Var(a) = 2.25"
"Random-slope model (RS)",5,10,2.25,"KM",20,16.2740735164228,0.256494976414287,15.7713433626508,16.7768036701948,"10","Var(a) = 2.25"
"Random-slope model (RS)",5,10,2.25,"BLM",20,16.2728529209495,0.256947090125387,15.7692366243037,16.7764692175952,"10","Var(a) = 2.25"
"Random-slope model (RS)",5,10,2.25,"CPF",20,16.2801858531565,0.25731221261788,15.7758539164255,16.7845177898876,"10","Var(a) = 2.25"
"Random-slope model (RS)",5,10,2.25,"OBS",20,16.2769988256817,0.257262754308476,15.772763827237,16.7812338241263,"10","Var(a) = 2.25"
"Random-slope model (RS)",5,10,2.25,"LM",20,16.2728529209495,0.256947090125387,15.7692366243037,16.7764692175952,"10","Var(a) = 2.25"
"Random-slope model (RS)",5,20,2.25,"ORACLE",20,10.0661378680759,0.0597648525658451,9.94899875704682,10.1832769791049,"20","Var(a) = 2.25"
"Random-slope model (RS)",5,20,2.25,"CIRG",20,16.9319041363188,0.171803349549416,16.5951695712019,17.2686387014356,"20","Var(a) = 2.25"
"Random-slope model (RS)",5,20,2.25,"KM",20,16.9325564303026,0.171788827358533,16.5958503286799,17.2692625319253,"20","Var(a) = 2.25"
"Random-slope model (RS)",5,20,2.25,"BLM",20,16.931350942255,0.171821840676732,16.5945801345286,17.2681217499814,"20","Var(a) = 2.25"
"Random-slope model (RS)",5,20,2.25,"CPF",20,16.9383637147394,0.171347430630392,16.6025227507038,17.274204678775,"20","Var(a) = 2.25"
"Random-slope model (RS)",5,20,2.25,"OBS",20,16.9342993200114,0.171830288080708,16.5975119553732,17.2710866846496,"20","Var(a) = 2.25"
"Random-slope model (RS)",5,20,2.25,"LM",20,16.931350942255,0.171821840676732,16.5945801345286,17.2681217499814,"20","Var(a) = 2.25"
"Random-slope model (RS)",5,50,2.25,"ORACLE",20,11.2294109874423,0.0737384894189955,11.0848835481811,11.3739384267035,"50","Var(a) = 2.25"
"Random-slope model (RS)",5,50,2.25,"CIRG",20,17.2493576874308,0.142218835188094,16.9706087704621,17.5281066043994,"50","Var(a) = 2.25"
"Random-slope model (RS)",5,50,2.25,"KM",20,17.24898624468,0.142104040889566,16.9704623245365,17.5275101648236,"50","Var(a) = 2.25"
"Random-slope model (RS)",5,50,2.25,"BLM",20,17.2479946027751,0.142225735826253,16.9692321605557,17.5267570449946,"50","Var(a) = 2.25"
"Random-slope model (RS)",5,50,2.25,"CPF",20,17.2946846518438,0.144565652555622,17.0113359728348,17.5780333308528,"50","Var(a) = 2.25"
"Random-slope model (RS)",5,50,2.25,"OBS",20,17.2619493675197,0.140936883065568,16.9857130767112,17.5381856583282,"50","Var(a) = 2.25"
"Random-slope model (RS)",5,50,2.25,"LM",20,17.2479946027751,0.142225735826253,16.9692321605557,17.5267570449946,"50","Var(a) = 2.25"
"Random-intercept model (RI)",6,10,0.5,"ORACLE",20,8.99121705441813,0.0540256835043138,8.88532671474967,9.09710739408658,"10","Var(a) = 0.50"
"Random-intercept model (RI)",6,10,0.5,"CIRG",20,9.39523534701335,0.082567048109222,9.23340393271928,9.55706676130743,"10","Var(a) = 0.50"
"Random-intercept model (RI)",6,10,0.5,"KM",20,9.39597027195742,0.0825643943464888,9.2341440590383,9.55779648487654,"10","Var(a) = 0.50"
"Random-intercept model (RI)",6,10,0.5,"BLM",20,9.3980979546756,0.0824990349905525,9.23639984609412,9.55979606325708,"10","Var(a) = 0.50"
"Random-intercept model (RI)",6,10,0.5,"CPF",20,9.39726317301154,0.0825557972489854,9.23545381040353,9.55907253561955,"10","Var(a) = 0.50"
"Random-intercept model (RI)",6,10,0.5,"OBS",20,9.39652828545617,0.0825971181509112,9.23463793388038,9.55841863703196,"10","Var(a) = 0.50"
"Random-intercept model (RI)",6,10,0.5,"LM",20,9.3959448873487,0.0825703854699706,9.23410693182756,9.55778284286984,"10","Var(a) = 0.50"
"Random-intercept model (RI)",6,20,0.5,"ORACLE",20,9.01421330761898,0.0531940154324768,8.90995303737133,9.11847357786664,"20","Var(a) = 0.50"
"Random-intercept model (RI)",6,20,0.5,"CIRG",20,9.44300339632365,0.0703388135206787,9.30513932182312,9.58086747082418,"20","Var(a) = 0.50"
"Random-intercept model (RI)",6,20,0.5,"KM",20,9.44238266674905,0.070379803347336,9.30443825218828,9.58032708130983,"20","Var(a) = 0.50"
"Random-intercept model (RI)",6,20,0.5,"BLM",20,9.46050407886088,0.0713230901096308,9.320710822246,9.60029733547576,"20","Var(a) = 0.50"
"Random-intercept model (RI)",6,20,0.5,"CPF",20,9.45413885459551,0.0709842650973335,9.31500969500473,9.59326801418628,"20","Var(a) = 0.50"
"Random-intercept model (RI)",6,20,0.5,"OBS",20,9.44518947392505,0.0704235853067142,9.30715924672389,9.58321970112621,"20","Var(a) = 0.50"
"Random-intercept model (RI)",6,20,0.5,"LM",20,9.44244272458325,0.0703662025563695,9.30452496757277,9.58036048159374,"20","Var(a) = 0.50"
"Random-intercept model (RI)",6,50,0.5,"ORACLE",20,9.04611597039085,0.0492491497148383,8.94958763694977,9.14264430383194,"50","Var(a) = 0.50"
"Random-intercept model (RI)",6,50,0.5,"CIRG",20,9.44105489859991,0.049104124106288,9.34481081535159,9.53729898184823,"50","Var(a) = 0.50"
"Random-intercept model (RI)",6,50,0.5,"KM",20,9.44088206630287,0.0490656695421315,9.3447133540003,9.53705077860545,"50","Var(a) = 0.50"
"Random-intercept model (RI)",6,50,0.5,"BLM",20,9.4841641217388,0.0495573400428385,9.38703173525484,9.58129650822277,"50","Var(a) = 0.50"
"Random-intercept model (RI)",6,50,0.5,"CPF",20,9.45407809215404,0.049401206943777,9.35725172654424,9.55090445776384,"50","Var(a) = 0.50"
"Random-intercept model (RI)",6,50,0.5,"OBS",20,9.44180231137122,0.048975461898399,9.34581040605036,9.53779421669209,"50","Var(a) = 0.50"
"Random-intercept model (RI)",6,50,0.5,"LM",20,9.44086056069707,0.0490608222754305,9.34470134903722,9.53701977235691,"50","Var(a) = 0.50"
"Random-intercept model (RI)",6,10,2.25,"ORACLE",20,8.99114055018549,0.0540379053144525,8.88522625576917,9.09705484460182,"10","Var(a) = 2.25"
"Random-intercept model (RI)",6,10,2.25,"CIRG",20,10.8387856250416,0.225344112692036,10.3971111641653,11.280460085918,"10","Var(a) = 2.25"
"Random-intercept model (RI)",6,10,2.25,"KM",20,10.839591772393,0.225483156317522,10.3976447860106,11.2815387587753,"10","Var(a) = 2.25"
"Random-intercept model (RI)",6,10,2.25,"BLM",20,10.8419724927065,0.225483682187217,10.4000244756195,11.2839205097934,"10","Var(a) = 2.25"
"Random-intercept model (RI)",6,10,2.25,"CPF",20,10.8411970428582,0.225532011055463,10.3991543011894,11.2832397845269,"10","Var(a) = 2.25"
"Random-intercept model (RI)",6,10,2.25,"OBS",20,10.8401160569608,0.225527650666368,10.3980818616547,11.2821502522668,"10","Var(a) = 2.25"
"Random-intercept model (RI)",6,10,2.25,"LM",20,10.8395557508062,0.225486760470731,10.3976017002835,11.2815098013288,"10","Var(a) = 2.25"
"Random-intercept model (RI)",6,20,2.25,"ORACLE",20,9.01572055628447,0.053497531463175,8.91086539461665,9.12057571795229,"20","Var(a) = 2.25"
"Random-intercept model (RI)",6,20,2.25,"CIRG",20,11.0368437008841,0.181994232680314,10.6801350048306,11.3935523969375,"20","Var(a) = 2.25"
"Random-intercept model (RI)",6,20,2.25,"KM",20,11.0362897130618,0.18205592598376,10.6794600981336,11.39311932799,"20","Var(a) = 2.25"
"Random-intercept model (RI)",6,20,2.25,"BLM",20,11.0595438585494,0.183141337429762,10.7005868371871,11.4185008799117,"20","Var(a) = 2.25"
"Random-intercept model (RI)",6,20,2.25,"CPF",20,11.0492538246887,0.18283128201284,10.6909045119435,11.4076031374339,"20","Var(a) = 2.25"
"Random-intercept model (RI)",6,20,2.25,"OBS",20,11.0397374728741,0.182144764745385,10.6827337339732,11.3967412117751,"20","Var(a) = 2.25"
"Random-intercept model (RI)",6,20,2.25,"LM",20,11.0364145438156,0.182031664892608,10.6796324806261,11.3931966070051,"20","Var(a) = 2.25"
"Random-intercept model (RI)",6,50,2.25,"ORACLE",20,9.05137895752269,0.0496317232523696,8.95410077994805,9.14865713509734,"50","Var(a) = 2.25"
"Random-intercept model (RI)",6,50,2.25,"CIRG",20,11.0064452410001,0.10780654473652,10.7951444133166,11.2177460686837,"50","Var(a) = 2.25"
"Random-intercept model (RI)",6,50,2.25,"KM",20,11.0059085006196,0.107838287041171,10.7945454580189,11.2172715432203,"50","Var(a) = 2.25"
"Random-intercept model (RI)",6,50,2.25,"BLM",20,11.054250270587,0.109904161212635,10.8388381146102,11.2696624265637,"50","Var(a) = 2.25"
"Random-intercept model (RI)",6,50,2.25,"CPF",20,11.0297256396136,0.109899013723672,10.8143235727152,11.245127706512,"50","Var(a) = 2.25"
"Random-intercept model (RI)",6,50,2.25,"OBS",20,11.0069830915109,0.107841251252456,10.7956142390561,11.2183519439657,"50","Var(a) = 2.25"
"Random-intercept model (RI)",6,50,2.25,"LM",20,11.0058875297854,0.107835128640767,10.7945306776495,11.2172443819213,"50","Var(a) = 2.25"
"Random-slope model (RS)",6,10,0.5,"ORACLE",20,9.33530200983135,0.0538296665066293,9.22979586347835,9.44080815618434,"10","Var(a) = 0.50"
"Random-slope model (RS)",6,10,0.5,"CIRG",20,16.2118204820912,0.710656233387679,14.8189342646514,17.6047066995311,"10","Var(a) = 0.50"
"Random-slope model (RS)",6,10,0.5,"KM",20,16.2109418225153,0.710402302139698,14.8185533103215,17.6033303347091,"10","Var(a) = 0.50"
"Random-slope model (RS)",6,10,0.5,"BLM",20,16.2106744899477,0.710519076745158,14.8180570995272,17.6032918803682,"10","Var(a) = 0.50"
"Random-slope model (RS)",6,10,0.5,"CPF",20,16.225022802911,0.711489662076794,14.8305030652405,17.6195425405815,"10","Var(a) = 0.50"
"Random-slope model (RS)",6,10,0.5,"OBS",20,16.2252578094008,0.711491445591626,14.8307345760412,17.6197810427604,"10","Var(a) = 0.50"
"Random-slope model (RS)",6,10,0.5,"LM",20,16.2106744899477,0.710519076745157,14.8180570995272,17.6032918803682,"10","Var(a) = 0.50"
"Random-slope model (RS)",6,20,0.5,"ORACLE",20,9.60625731425464,0.045902316187514,9.51628877452712,9.69622585398217,"20","Var(a) = 0.50"
"Random-slope model (RS)",6,20,0.5,"CIRG",20,16.5611870514504,0.622306698041921,15.3414659232882,17.7809081796125,"20","Var(a) = 0.50"
"Random-slope model (RS)",6,20,0.5,"KM",20,16.5618671996708,0.622237326132034,15.342282040452,17.7814523588896,"20","Var(a) = 0.50"
"Random-slope model (RS)",6,20,0.5,"BLM",20,16.5617316385561,0.622213319714474,15.3421935319157,17.7812697451965,"20","Var(a) = 0.50"
"Random-slope model (RS)",6,20,0.5,"CPF",20,16.586654556978,0.622652241823538,15.3662561630038,17.8070529509521,"20","Var(a) = 0.50"
"Random-slope model (RS)",6,20,0.5,"OBS",20,16.581746789133,0.622392368879073,15.3618577461301,17.801635832136,"20","Var(a) = 0.50"
"Random-slope model (RS)",6,20,0.5,"LM",20,16.5617316385561,0.622213319714474,15.3421935319157,17.7812697451965,"20","Var(a) = 0.50"
"Random-slope model (RS)",6,50,0.5,"ORACLE",20,10.0669847569401,0.062669987547365,9.94415158134728,10.189817932533,"50","Var(a) = 0.50"
"Random-slope model (RS)",6,50,0.5,"CIRG",20,16.704152677605,0.360517910273821,15.9975375734683,17.4107677817417,"50","Var(a) = 0.50"
"Random-slope model (RS)",6,50,0.5,"KM",20,16.7035816414667,0.360513183166175,15.996975802461,17.4101874804724,"50","Var(a) = 0.50"
"Random-slope model (RS)",6,50,0.5,"BLM",20,16.7031828518143,0.360562483633433,15.9964803838928,17.4098853197359,"50","Var(a) = 0.50"
"Random-slope model (RS)",6,50,0.5,"CPF",20,16.72524121447,0.361865556042256,16.0159847246272,17.4344977043128,"50","Var(a) = 0.50"
"Random-slope model (RS)",6,50,0.5,"OBS",20,16.7250355001291,0.359686304820435,16.0200503426811,17.4300206575772,"50","Var(a) = 0.50"
"Random-slope model (RS)",6,50,0.5,"LM",20,16.7031828518143,0.360562483633431,15.9964803838928,17.4098853197359,"50","Var(a) = 0.50"
"Random-slope model (RS)",6,10,2.25,"ORACLE",20,9.33932778350855,0.054110706209498,9.23327079933793,9.44538476767917,"10","Var(a) = 2.25"
"Random-slope model (RS)",6,10,2.25,"CIRG",20,17.7726040530609,0.879883776964528,16.0480318502104,19.4971762559113,"10","Var(a) = 2.25"
"Random-slope model (RS)",6,10,2.25,"KM",20,17.7718133447408,0.879578899052645,16.0478387025976,19.495787986884,"10","Var(a) = 2.25"
"Random-slope model (RS)",6,10,2.25,"BLM",20,17.7715495146467,0.879701764926273,16.0473340553912,19.4957649739022,"10","Var(a) = 2.25"
"Random-slope model (RS)",6,10,2.25,"CPF",20,17.7882543216208,0.881192788412231,16.0611164563329,19.5153921869088,"10","Var(a) = 2.25"
"Random-slope model (RS)",6,10,2.25,"OBS",20,17.7873640161638,0.881114132541318,16.0603803163829,19.5143477159448,"10","Var(a) = 2.25"
"Random-slope model (RS)",6,10,2.25,"LM",20,17.7715495146467,0.879701764926273,16.0473340553912,19.4957649739022,"10","Var(a) = 2.25"
"Random-slope model (RS)",6,20,2.25,"ORACLE",20,9.60895110327057,0.0459563684459872,9.51887662111644,9.69902558542471,"20","Var(a) = 2.25"
"Random-slope model (RS)",6,20,2.25,"CIRG",20,18.5675919938802,0.755023021456278,17.0877468718259,20.0474371159345,"20","Var(a) = 2.25"
"Random-slope model (RS)",6,20,2.25,"KM",20,18.5691861259174,0.754898705803402,17.0895846625427,20.0487875892921,"20","Var(a) = 2.25"
"Random-slope model (RS)",6,20,2.25,"BLM",20,18.5690645684123,0.754872318682632,17.0895148237943,20.0486143130302,"20","Var(a) = 2.25"
"Random-slope model (RS)",6,20,2.25,"CPF",20,18.5954349788605,0.755724501740145,17.1142149554499,20.0766550022712,"20","Var(a) = 2.25"
"Random-slope model (RS)",6,20,2.25,"OBS",20,18.5902741613916,0.755294845318416,17.1098962645675,20.0706520582157,"20","Var(a) = 2.25"
"Random-slope model (RS)",6,20,2.25,"LM",20,18.5690645684123,0.754872318682633,17.0895148237943,20.0486143130302,"20","Var(a) = 2.25"
"Random-slope model (RS)",6,50,2.25,"ORACLE",20,10.0721777615304,0.0628895447437408,9.9489142538327,10.1954412692282,"50","Var(a) = 2.25"
"Random-slope model (RS)",6,50,2.25,"CIRG",20,18.4797106640357,0.410940702613146,17.6742668869139,19.2851544411575,"50","Var(a) = 2.25"
"Random-slope model (RS)",6,50,2.25,"KM",20,18.4796102066073,0.411037839993466,17.6739760402201,19.2852443729945,"50","Var(a) = 2.25"
"Random-slope model (RS)",6,50,2.25,"BLM",20,18.4792340049458,0.411036285681223,17.6736028850106,19.284865124881,"50","Var(a) = 2.25"
"Random-slope model (RS)",6,50,2.25,"CPF",20,18.5088897192329,0.411731953606402,17.7018950901643,19.3158843483014,"50","Var(a) = 2.25"
"Random-slope model (RS)",6,50,2.25,"OBS",20,18.502761767437,0.409663448837931,17.6998214077147,19.3057021271594,"50","Var(a) = 2.25"
"Random-slope model (RS)",6,50,2.25,"LM",20,18.4792340049458,0.411036285681223,17.6736028850106,19.284865124881,"50","Var(a) = 2.25"
"Random-intercept model (RI)",7,10,0.5,"ORACLE",20,8.98913045010597,0.0534638084528429,8.88434138553839,9.09391951467354,"10","Var(a) = 0.50"
"Random-intercept model (RI)",7,10,0.5,"CIRG",20,9.39183508704382,0.0812131109095598,9.23265738966108,9.55101278442656,"10","Var(a) = 0.50"
"Random-intercept model (RI)",7,10,0.5,"KM",20,9.39194693393186,0.081181549501545,9.23283109690883,9.55106277095489,"10","Var(a) = 0.50"
"Random-intercept model (RI)",7,10,0.5,"BLM",20,9.39414994446452,0.0810957389059326,9.23520229620889,9.55309759272015,"10","Var(a) = 0.50"
"Random-intercept model (RI)",7,10,0.5,"CPF",20,9.39316988883982,0.0811408566546395,9.23413380979673,9.55220596788291,"10","Var(a) = 0.50"
"Random-intercept model (RI)",7,10,0.5,"OBS",20,9.39233610584866,0.0812077891393809,9.23316883913547,9.55150337256185,"10","Var(a) = 0.50"
"Random-intercept model (RI)",7,10,0.5,"LM",20,9.39194713937411,0.0811814982973696,9.23283140271127,9.55106287603696,"10","Var(a) = 0.50"
"Random-intercept model (RI)",7,20,0.5,"ORACLE",20,9.01110259376185,0.0519118461927631,8.90935537522404,9.11284981229967,"20","Var(a) = 0.50"
"Random-intercept model (RI)",7,20,0.5,"CIRG",20,9.43764379187187,0.0707418833801386,9.2989897004468,9.57629788329694,"20","Var(a) = 0.50"
"Random-intercept model (RI)",7,20,0.5,"KM",20,9.43770875196232,0.0707754087031477,9.29898895090415,9.57642855302049,"20","Var(a) = 0.50"
"Random-intercept model (RI)",7,20,0.5,"BLM",20,9.45488303743392,0.071579291054311,9.31458762696747,9.59517844790037,"20","Var(a) = 0.50"
"Random-intercept model (RI)",7,20,0.5,"CPF",20,9.44753394145627,0.0712944847469621,9.30779675135222,9.58727113156032,"20","Var(a) = 0.50"
"Random-intercept model (RI)",7,20,0.5,"OBS",20,9.44049587990241,0.0708427817135909,9.30164402774377,9.57934773206105,"20","Var(a) = 0.50"
"Random-intercept model (RI)",7,20,0.5,"LM",20,9.43770812608065,0.0707754182147569,9.29898830637972,9.57642794578157,"20","Var(a) = 0.50"
"Random-intercept model (RI)",7,50,0.5,"ORACLE",20,9.04867063533531,0.0521150295009115,8.94652517751352,9.15081609315709,"50","Var(a) = 0.50"
"Random-intercept model (RI)",7,50,0.5,"CIRG",20,9.44445540082053,0.0522282435154651,9.34208804353022,9.54682275811084,"50","Var(a) = 0.50"
"Random-intercept model (RI)",7,50,0.5,"KM",20,9.44414399250463,0.0521977322779592,9.34183643723983,9.54645154776943,"50","Var(a) = 0.50"
"Random-intercept model (RI)",7,50,0.5,"BLM",20,9.48619883256797,0.0524050881993642,9.38348485969722,9.58891280543873,"50","Var(a) = 0.50"
"Random-intercept model (RI)",7,50,0.5,"CPF",20,9.45973723165406,0.0525633352659076,9.35671309453288,9.56276136877524,"50","Var(a) = 0.50"
