"model","case","R","Var_a","method","n","mean_MSPE","MCSE","lower","upper","R_factor","Var_a_label"
"Random-intercept model (RI)",1,50,2.25,"CIRG",20,10.9992465874852,0.105027193209961,10.7933932887937,11.2050998861767,"50","Var(a) = 2.25"
"Random-intercept model (RI)",1,50,2.25,"KM",20,10.9991959197915,0.105018248046024,10.7933601536213,11.2050316859617,"50","Var(a) = 2.25"
"Random-intercept model (RI)",1,50,2.25,"BLM",20,11.0446090703537,0.10663599496382,10.8356025202246,11.2536156204828,"50","Var(a) = 2.25"
"Random-intercept model (RI)",1,50,2.25,"CPF",20,11.0167034474945,0.106523156055964,10.8079180616248,11.2254888333642,"50","Var(a) = 2.25"
"Random-intercept model (RI)",1,50,2.25,"OBS",20,10.9998466628709,0.105006277799921,10.7940343583831,11.2056589673588,"50","Var(a) = 2.25"
"Random-intercept model (RI)",1,50,2.25,"LM",20,10.9991692829001,0.105023314417394,10.793323586642,11.2050149791582,"50","Var(a) = 2.25"
"Random-slope model (RS)",1,10,0.5,"ORACLE",20,9.35935874044658,0.0588989061886604,9.24391688431681,9.47480059657636,"10","Var(a) = 0.50"
"Random-slope model (RS)",1,10,0.5,"CIRG",20,10.8515036814669,0.0923299843576858,10.6705369121258,11.0324704508079,"10","Var(a) = 0.50"
"Random-slope model (RS)",1,10,0.5,"KM",20,10.8518440204214,0.0922906327388973,10.6709543802532,11.0327336605897,"10","Var(a) = 0.50"
"Random-slope model (RS)",1,10,0.5,"BLM",20,10.8514591804648,0.092416769454895,10.6703223123332,11.0325960485963,"10","Var(a) = 0.50"
"Random-slope model (RS)",1,10,0.5,"CPF",20,10.8558735649854,0.0926060465891055,10.6743657136708,11.0373814163001,"10","Var(a) = 0.50"
"Random-slope model (RS)",1,10,0.5,"OBS",20,10.8550437061678,0.092611420146793,10.67352532268,11.0365620896555,"10","Var(a) = 0.50"
"Random-slope model (RS)",1,10,0.5,"LM",20,10.8514591804648,0.0924167694548949,10.6703223123332,11.0325960485963,"10","Var(a) = 0.50"
"Random-slope model (RS)",1,20,0.5,"ORACLE",20,9.66530976604543,0.0480836536516479,9.5710658048882,9.75955372720266,"20","Var(a) = 0.50"
"Random-slope model (RS)",1,20,0.5,"CIRG",20,11.026046290372,0.0686618916049123,10.8914689828264,11.1606235979176,"20","Var(a) = 0.50"
"Random-slope model (RS)",1,20,0.5,"KM",20,11.0253976667708,0.0687144570465548,10.8907173309596,11.1600780025821,"20","Var(a) = 0.50"
"Random-slope model (RS)",1,20,0.5,"BLM",20,11.0241705193457,0.0688037681151344,10.88931513384,11.1590259048513,"20","Var(a) = 0.50"
"Random-slope model (RS)",1,20,0.5,"CPF",20,11.0316248446518,0.06788357517376,10.8985730373112,11.1646766519923,"20","Var(a) = 0.50"
"Random-slope model (RS)",1,20,0.5,"OBS",20,11.0252100359423,0.0681133888937323,10.8917077937106,11.158712278174,"20","Var(a) = 0.50"
"Random-slope model (RS)",1,20,0.5,"LM",20,11.0241705193457,0.0688037681151344,10.88931513384,11.1590259048513,"20","Var(a) = 0.50"
"Random-slope model (RS)",1,50,0.5,"ORACLE",20,10.1306152451683,0.0585374571442805,10.0158818291655,10.2453486611711,"50","Var(a) = 0.50"
"Random-slope model (RS)",1,50,0.5,"CIRG",20,11.0882224592901,0.0604184999112402,10.969802199464,11.2066427191161,"50","Var(a) = 0.50"
"Random-slope model (RS)",1,50,0.5,"KM",20,11.0888098566781,0.0602562301853562,10.9707076455148,11.2069120678414,"50","Var(a) = 0.50"
"Random-slope model (RS)",1,50,0.5,"BLM",20,11.0883074890281,0.0602922649690169,10.9701346496889,11.2064803283674,"50","Var(a) = 0.50"
"Random-slope model (RS)",1,50,0.5,"CPF",20,11.1080248825747,0.0612885379882872,10.9878993481177,11.2281504170318,"50","Var(a) = 0.50"
"Random-slope model (RS)",1,50,0.5,"OBS",20,11.0925613030055,0.0610258595562844,10.9729506182752,11.2121719877358,"50","Var(a) = 0.50"
"Random-slope model (RS)",1,50,0.5,"LM",20,11.0883074890281,0.0602922649690169,10.9701346496889,11.2064803283674,"50","Var(a) = 0.50"
"Random-slope model (RS)",1,10,2.25,"ORACLE",20,9.35943101777223,0.0588144761598309,9.24415464449896,9.4747073910455,"10","Var(a) = 2.25"
"Random-slope model (RS)",1,10,2.25,"CIRG",20,12.3263597944841,0.228536300263439,11.8784286459677,12.7742909430004,"10","Var(a) = 2.25"
"Random-slope model (RS)",1,10,2.25,"KM",20,12.3266530990012,0.228371656300074,11.8790446526531,12.7742615453494,"10","Var(a) = 2.25"
"Random-slope model (RS)",1,10,2.25,"BLM",20,12.3261234248212,0.228581053706048,11.8781045595574,12.7741422900851,"10","Var(a) = 2.25"
"Random-slope model (RS)",1,10,2.25,"CPF",20,12.3312488669779,0.228689715079284,11.8830170254225,12.7794807085333,"10","Var(a) = 2.25"
"Random-slope model (RS)",1,10,2.25,"OBS",20,12.3305440822389,0.22883223637981,11.8820328989344,12.7790552655433,"10","Var(a) = 2.25"
"Random-slope model (RS)",1,10,2.25,"LM",20,12.3261234248212,0.228581053706048,11.8781045595574,12.7741422900851,"10","Var(a) = 2.25"
"Random-slope model (RS)",1,20,2.25,"ORACLE",20,9.6648932993074,0.0481462006669148,9.57052674600024,9.75925985261455,"20","Var(a) = 2.25"
"Random-slope model (RS)",1,20,2.25,"CIRG",20,12.6732396649912,0.178077146556191,12.324208457741,13.0222708722413,"20","Var(a) = 2.25"
"Random-slope model (RS)",1,20,2.25,"KM",20,12.6725470528322,0.17825002712309,12.3231769996709,13.0219171059935,"20","Var(a) = 2.25"
"Random-slope model (RS)",1,20,2.25,"BLM",20,12.6718266282926,0.178275953215529,12.3224057599902,13.0212474965951,"20","Var(a) = 2.25"
"Random-slope model (RS)",1,20,2.25,"CPF",20,12.6802850575703,0.177862000773021,12.3316755360552,13.0288945790854,"20","Var(a) = 2.25"
"Random-slope model (RS)",1,20,2.25,"OBS",20,12.6730293334722,0.177500729403321,12.3251279038417,13.0209307631027,"20","Var(a) = 2.25"
"Random-slope model (RS)",1,20,2.25,"LM",20,12.6718266282926,0.178275953215529,12.3224057599902,13.0212474965951,"20","Var(a) = 2.25"
"Random-slope model (RS)",1,50,2.25,"ORACLE",20,10.1408100645738,0.0588490663304078,10.0254658945662,10.2561542345814,"50","Var(a) = 2.25"
"Random-slope model (RS)",1,50,2.25,"CIRG",20,12.622752707031,0.114984837675575,12.3973824251869,12.8481229888751,"50","Var(a) = 2.25"
"Random-slope model (RS)",1,50,2.25,"KM",20,12.6237743907359,0.115117294116295,12.3981444942679,12.8494042872038,"50","Var(a) = 2.25"
"Random-slope model (RS)",1,50,2.25,"BLM",20,12.6227069816758,0.114943258682042,12.397418194659,12.8479957686926,"50","Var(a) = 2.25"
"Random-slope model (RS)",1,50,2.25,"CPF",20,12.6515837667759,0.115493902669543,12.4252157175436,12.8779518160082,"50","Var(a) = 2.25"
"Random-slope model (RS)",1,50,2.25,"OBS",20,12.6267921880036,0.115505712073498,12.4004009923396,12.8531833836677,"50","Var(a) = 2.25"
"Random-slope model (RS)",1,50,2.25,"LM",20,12.6227069816758,0.114943258682042,12.397418194659,12.8479957686926,"50","Var(a) = 2.25"
"Random-intercept model (RI)",2,10,0.5,"ORACLE",20,8.98772770238404,0.0542755629426908,8.88134759901637,9.09410780575171,"10","Var(a) = 0.50"
"Random-intercept model (RI)",2,10,0.5,"CIRG",20,9.39343522268352,0.082804462415403,9.23113847634933,9.55573196901771,"10","Var(a) = 0.50"
"Random-intercept model (RI)",2,10,0.5,"KM",20,9.39344260191928,0.0828209863425947,9.2311134686878,9.55577173515077,"10","Var(a) = 0.50"
"Random-intercept model (RI)",2,10,0.5,"BLM",20,9.39561402973467,0.0827556272876932,9.23341300025079,9.55781505921854,"10","Var(a) = 0.50"
"Random-intercept model (RI)",2,10,0.5,"CPF",20,9.39467814363178,0.0827611055208879,9.23246637681084,9.55688991045272,"10","Var(a) = 0.50"
"Random-intercept model (RI)",2,10,0.5,"OBS",20,9.39396130947743,0.0828364187699875,9.23160192868825,9.5563206902666,"10","Var(a) = 0.50"
"Random-intercept model (RI)",2,10,0.5,"LM",20,9.39341581640016,0.082810608295834,9.23110702414032,9.55572460865999,"10","Var(a) = 0.50"
"Random-intercept model (RI)",2,20,0.5,"ORACLE",20,9.01732178472959,0.0538638211030618,8.91174869536759,9.12289487409159,"20","Var(a) = 0.50"
"Random-intercept model (RI)",2,20,0.5,"CIRG",20,9.44568156427588,0.0708517488324571,9.30681213656427,9.5845509919875,"20","Var(a) = 0.50"
"Random-intercept model (RI)",2,20,0.5,"KM",20,9.44609683850054,0.0707112962214526,9.30750269790649,9.58469097909459,"20","Var(a) = 0.50"
"Random-intercept model (RI)",2,20,0.5,"BLM",20,9.46374517633342,0.0716690876090779,9.32327376461963,9.60421658804722,"20","Var(a) = 0.50"
"Random-intercept model (RI)",2,20,0.5,"CPF",20,9.45651809722996,0.0712921580940578,9.3167854673656,9.59625072709431,"20","Var(a) = 0.50"
"Random-intercept model (RI)",2,20,0.5,"OBS",20,9.44868676764591,0.0707909417875907,9.30993652174223,9.58743701354958,"20","Var(a) = 0.50"
"Random-intercept model (RI)",2,20,0.5,"LM",20,9.44606739039014,0.0707215359116517,9.3074531800033,9.58468160077697,"20","Var(a) = 0.50"
"Random-intercept model (RI)",2,50,0.5,"ORACLE",20,9.0419666238535,0.0497327737716518,8.94449038726106,9.13944286044594,"50","Var(a) = 0.50"
"Random-intercept model (RI)",2,50,0.5,"CIRG",20,9.43669744421532,0.0498497193450812,9.33899199429896,9.53440289413168,"50","Var(a) = 0.50"
"Random-intercept model (RI)",2,50,0.5,"KM",20,9.43664241061158,0.0498636165152952,9.3389097222416,9.53437509898156,"50","Var(a) = 0.50"
"Random-intercept model (RI)",2,50,0.5,"BLM",20,9.47963518889377,0.0502262007028604,9.38119183551616,9.57807854227137,"50","Var(a) = 0.50"
"Random-intercept model (RI)",2,50,0.5,"CPF",20,9.4493569324206,0.0503642476247854,9.35064300707602,9.54807085776518,"50","Var(a) = 0.50"
"Random-intercept model (RI)",2,50,0.5,"OBS",20,9.43765956577514,0.049748484677622,9.340152535807,9.53516659574328,"50","Var(a) = 0.50"
"Random-intercept model (RI)",2,50,0.5,"LM",20,9.43669295806656,0.0498519465345327,9.33898314285887,9.53440277327424,"50","Var(a) = 0.50"
"Random-intercept model (RI)",2,10,2.25,"ORACLE",20,8.98766600223563,0.0542906752167523,8.8812562788108,9.09407572566047,"10","Var(a) = 2.25"
"Random-intercept model (RI)",2,10,2.25,"CIRG",20,10.8378979927671,0.225710675155118,10.395505069463,11.2802909160711,"10","Var(a) = 2.25"
"Random-intercept model (RI)",2,10,2.25,"KM",20,10.8379040579987,0.225732736237496,10.3954678949732,11.2803402210242,"10","Var(a) = 2.25"
"Random-intercept model (RI)",2,10,2.25,"BLM",20,10.8402377081407,0.225689921295801,10.3978854624009,11.2825899538805,"10","Var(a) = 2.25"
"Random-intercept model (RI)",2,10,2.25,"CPF",20,10.8391905415918,0.225720688805313,10.3967779915334,11.2816030916502,"10","Var(a) = 2.25"
"Random-intercept model (RI)",2,10,2.25,"OBS",20,10.83841805082,0.225756795617372,10.39593473141,11.2809013702301,"10","Var(a) = 2.25"
"Random-intercept model (RI)",2,10,2.25,"LM",20,10.8378806426613,0.225721500566159,10.3954665015516,11.280294783771,"10","Var(a) = 2.25"
"Random-intercept model (RI)",2,20,2.25,"ORACLE",20,9.01889037261073,0.0541509462483576,8.91275451796395,9.1250262272575,"20","Var(a) = 2.25"
"Random-intercept model (RI)",2,20,2.25,"CIRG",20,11.0396443428784,0.182200333805253,10.6825316886201,11.3967569971367,"20","Var(a) = 2.25"
"Random-intercept model (RI)",2,20,2.25,"KM",20,11.0399472244845,0.182150087090184,10.6829330537877,11.3969613951812,"20","Var(a) = 2.25"
"Random-intercept model (RI)",2,20,2.25,"BLM",20,11.0626395644756,0.183377222003043,10.7032202093496,11.4220589196015,"20","Var(a) = 2.25"
"Random-intercept model (RI)",2,20,2.25,"CPF",20,11.0541297600799,0.183025419175454,10.695399938496,11.4128595816638,"20","Var(a) = 2.25"
"Random-intercept model (RI)",2,20,2.25,"OBS",20,11.0430331879902,0.182287503016532,10.6857496820778,11.4003166939026,"20","Var(a) = 2.25"
"Random-intercept model (RI)",2,20,2.25,"LM",20,11.0399107552954,0.182166060094188,10.6828652775108,11.39695623308,"20","Var(a) = 2.25"
"Random-intercept model (RI)",2,50,2.25,"ORACLE",20,9.04730245769419,0.0501356286477212,8.94903662554466,9.14556828984372,"50","Var(a) = 2.25"
"Random-intercept model (RI)",2,50,2.25,"CIRG",20,11.0022041995993,0.109355935483322,10.787866566052,11.2165418331466,"50","Var(a) = 2.25"
"Random-intercept model (RI)",2,50,2.25,"KM",20,11.0022154770092,0.109356727078596,10.7878762919351,11.2165546620832,"50","Var(a) = 2.25"
"Random-intercept model (RI)",2,50,2.25,"BLM",20,11.0520142398125,0.111595608022564,10.8332868480883,11.2707416315367,"50","Var(a) = 2.25"
"Random-intercept model (RI)",2,50,2.25,"CPF",20,11.0272324860372,0.111460137587958,10.8087706163648,11.2456943557096,"50","Var(a) = 2.25"
"Random-intercept model (RI)",2,50,2.25,"OBS",20,11.0033471710888,0.109390197749406,10.7889423835,11.2177519586777,"50","Var(a) = 2.25"
"Random-intercept model (RI)",2,50,2.25,"LM",20,11.0021894983722,0.109364947045529,10.787834202163,11.2165447945815,"50","Var(a) = 2.25"
"Random-slope model (RS)",2,10,0.5,"ORACLE",20,9.4336191400584,0.0547658020319264,9.32627816807582,9.54096011204097,"10","Var(a) = 0.50"
"Random-slope model (RS)",2,10,0.5,"CIRG",20,13.6579323379644,0.123940969939039,13.4150080368839,13.900856639045,"10","Var(a) = 0.50"
"Random-slope model (RS)",2,10,0.5,"KM",20,13.6584950541946,0.124072532473486,13.4153128905465,13.9016772178426,"10","Var(a) = 0.50"
"Random-slope model (RS)",2,10,0.5,"BLM",20,13.6571276506983,0.123860182263386,13.4143616934621,13.8998936079345,"10","Var(a) = 0.50"
"Random-slope model (RS)",2,10,0.5,"CPF",20,13.6622529128227,0.123098245841405,13.4209803509736,13.9035254746719,"10","Var(a) = 0.50"
"Random-slope model (RS)",2,10,0.5,"OBS",20,13.6605577414716,0.123390691476414,13.4187119861778,13.9024034967654,"10","Var(a) = 0.50"
"Random-slope model (RS)",2,10,0.5,"LM",20,13.6571276506983,0.123860182263386,13.4143616934621,13.8998936079345,"10","Var(a) = 0.50"
"Random-slope model (RS)",2,20,0.5,"ORACLE",20,9.89004331689784,0.0483612689033622,9.79525522984725,9.98483140394843,"20","Var(a) = 0.50"
"Random-slope model (RS)",2,20,0.5,"CIRG",20,14.2227709380516,0.104750447365728,14.0174600612147,14.4280818148884,"20","Var(a) = 0.50"
"Random-slope model (RS)",2,20,0.5,"KM",20,14.2223249320006,0.105083942628211,14.0163604044494,14.4282894595519,"20","Var(a) = 0.50"
"Random-slope model (RS)",2,20,0.5,"BLM",20,14.2221353095126,0.105199008875273,14.0159452521171,14.4283253669082,"20","Var(a) = 0.50"
"Random-slope model (RS)",2,20,0.5,"CPF",20,14.231947335948,0.105644631509302,14.0248838581897,14.4390108137062,"20","Var(a) = 0.50"
"Random-slope model (RS)",2,20,0.5,"OBS",20,14.2274437148957,0.105771806347952,14.0201309744538,14.4347564553377,"20","Var(a) = 0.50"
