"method","MSPE","beta_MSE","beta_SSE","intercept_MSE","Var_a_hat","Var_b_hat","Var_e_hat","Var_a_MSE","Var_b_MSE","Var_e_MSE","G_MSE","selected_K","objective","runtime","converged","iterations","group_ARI","mis_type","rho","merge_factor","dist_x","var_b","lambda","R_true","N_test","replication","model","case"
"CIRG",10.7833636615873,0.00357434202108707,0.0714868404217413,0.13572362635809,0.000710455840242552,NA,10.3691827358671,5.05930345346641,NA,1.87466136419639,NA,4,-10.4416976100797,1.56,TRUE,70,-0.0009534440108351,"contam",0.25,2,"case7",0,0,20,1000,4,"RI",7
"CIRG",12.8720619025225,0.00350312147493666,0.0700624294987331,0.58070817980789,0.00416164803391804,NA,11.5476113643927,5.04378990316173,NA,6.490323663983,NA,5,-11.6308208848725,2.05,TRUE,109,0.000181300012752885,"contam",0.25,2,"case7",0,0,20,1000,5,"RI",7
"CIRG",10.3388004389147,0.00707395899215902,0.14147917984318,0.0506723934796706,0.000258900427001699,NA,10.8725043261257,5.06133501510792,NA,3.50627245135956,NA,2,-11.0097444173471,1.29,TRUE,28,-0.000240845249519008,"contam",0.25,2,"case8",0,0,20,1000,1,"RI",8
"CIRG",9.73481466869779,0.00416516325078706,0.0833032650157412,0.00840454716153315,0.000271232270490024,NA,10.0165544623845,5.06127952834974,NA,1.03338297499389,NA,2,-10.1429605742243,2.26,TRUE,29,-1.9877455315738e-05,"contam",0.25,2,"case8",0,0,20,1000,2,"RI",8
"CIRG",9.38188071189025,0.00552911374710221,0.110582274942044,0.0603141544061028,0.000243635874093594,NA,9.82145453374404,5.06140369792502,NA,0.674787551008633,NA,2,-9.9478705592894,0.950000000000003,TRUE,27,0,"contam",0.25,2,"case8",0,0,20,1000,3,"RI",8
"CIRG",10.8393987951553,0.006872049083461,0.13744098166922,0.129632890047634,0.000270040733398761,NA,10.3657329396318,5.0612848896217,NA,1.86522646239533,NA,2,-10.4954435618934,1.08,TRUE,29,0.000126122087044096,"contam",0.25,2,"case8",0,0,20,1000,4,"RI",8
"CIRG",12.8593740326221,0.0103872911166331,0.207745822332662,0.582588225174898,0.0002904855805694,NA,11.4976357524532,5.06119289926931,NA,6.23818435193255,NA,2,-11.642010097659,1.17,TRUE,32,0,"contam",0.25,2,"case8",0,0,20,1000,5,"RI",8
"CIRG",10.4958914133562,0.0039580336479645,0.0791606729592899,0.0506774647470725,0.000291929196125101,NA,10.8724336324836,5.06118640384009,NA,3.5060077080558,NA,2,-11.0265957465648,1.79000000000001,TRUE,31,0.00105980299815699,"contam",0.25,2,"case9",0,0,20,1000,1,"RI",9
"CIRG",9.67147790603955,0.00240931320989562,0.0481862641979124,0.00843528428330408,0.00030276527178867,NA,10.0164788738141,5.06113764794376,NA,1.03322930091038,NA,2,-10.1527137637381,1.09999999999999,TRUE,33,-0.000778579907964476,"contam",0.25,2,"case9",0,0,20,1000,2,"RI",9
"CIRG",9.3273407738494,0.00296987328596011,0.0593974657192021,0.0603114993781058,0.000285001841442198,NA,9.8213663241889,5.06121757293956,NA,0.67464263851159,NA,2,-9.95703610514313,1.06,TRUE,31,-0.000311785096747914,"contam",0.25,2,"case9",0,0,20,1000,3,"RI",9
"CIRG",10.8493465630745,0.0036398287213742,0.072796574427484,0.129703676095258,0.000257360235452554,NA,10.3657586206569,5.06134194517475,NA,1.8652966098987,NA,2,-10.5090090081616,1.26000000000001,TRUE,28,-0.000356877583683999,"contam",0.25,2,"case9",0,0,20,1000,4,"RI",9
"CIRG",13.0012547732057,0.00613399713355351,0.12267994267107,0.582723500404407,0.000351127330379733,NA,11.4974980873291,5.06092005030369,NA,6.23749669621254,NA,2,-11.6541428068691,1.47,TRUE,40,-0.000501402938896936,"contam",0.25,2,"case9",0,0,20,1000,5,"RI",9
"CIRG",11.0243055809309,0.0155969044867467,0.311938089734933,0.0870358707587719,8.49359492086285,NA,2.4968195104343,38.9824775358244,NA,42.291356479868,NA,5,-2.51730231102533,0.959999999999994,TRUE,4,-0.000422662262300526,"contam",0.25,2,"case1",0,1,20,1000,1,"RI",1
"CIRG",10.2315794388788,0.0175536723842655,0.351073447685311,0.000227084965017064,7.30540590317673,NA,2.35983981369281,25.5571288458741,NA,44.0917272998191,NA,5,-2.37933251778183,0.790000000000006,TRUE,4,8.80265759111729e-05,"contam",0.25,2,"case1",0,1,20,1000,2,"RI",1
"CIRG",9.80512435167274,0.0309040966927889,0.618081933855779,0.0590473903888623,6.31800697862245,NA,3.51499284367559,16.5486807781209,NA,30.08530350493,NA,2,-3.54115213078047,0.579999999999998,TRUE,4,-0.000311333187648529,"contam",0.25,2,"case1",0,1,20,1000,3,"RI",1
"CIRG",11.3086556946596,0.0188666877455278,0.377333754910557,0.0751842365453469,6.54947323483001,NA,3.9188780985796,18.4854700970197,NA,25.817799777094,NA,2,-3.94777046829335,0.609999999999999,TRUE,4,-0.00150321140414029,"contam",0.25,2,"case1",0,1,20,1000,4,"RI",1
"CIRG",13.5068818744008,0.0233269663543789,0.466539327087577,0.700076435036901,7.45681040796974,NA,4.14432282761757,27.110874624542,NA,23.5776008023958,NA,2,-4.17466883767095,0.650000000000006,TRUE,4,-0.000959261220694975,"contam",0.25,2,"case1",0,1,20,1000,5,"RI",1
"CIRG",10.4266067228306,0.00728495170265655,0.145699034053131,0.0452300021664208,0.174759067549605,NA,10.7443284974321,4.30662492771758,NA,3.04268190695378,NA,10,-10.8450870800213,0.959999999999994,TRUE,11,-0.00122259946017554,"contam",0.25,2,"case2",0,1,20,1000,1,"RI",2
"CIRG",9.72257705412512,0.00416592638457204,0.0833185276914408,0.00845356023715082,0.000343718133768324,NA,10.0163941517143,5.0609533865402,NA,1.03305707163906,NA,2,-10.0871377400021,1.08,TRUE,38,-0.000857193243040347,"contam",0.25,2,"case2",0,1,20,1000,2,"RI",2
"CIRG",9.32501778479283,0.00553321291362413,0.110664258272483,0.0603408400162361,0.000355834647087364,NA,9.82120390463005,5.0608988707064,NA,0.674375852979637,NA,2,-9.8911249431918,1.18000000000001,TRUE,42,-0.000931488440063667,"contam",0.25,2,"case2",0,1,20,1000,3,"RI",2
"CIRG",10.838283320469,0.00710201127980971,0.142040225596194,0.136763366440642,0.0286682368870227,NA,10.3454736699865,4.93431480181461,NA,1.81029939662692,NA,4,-10.4244729297233,1.14999999999999,TRUE,17,-0.00117308771765806,"contam",0.25,2,"case2",0,1,20,1000,4,"RI",2
"CIRG",12.873481552688,0.0103893608474715,0.207787216949431,0.582516933675916,0.000362971100365667,NA,11.4974769016374,5.06086676179637,NA,6.23739087421211,NA,2,-11.5778585483692,1.30000000000001,TRUE,41,-0.000717277529769948,"contam",0.25,2,"case2",0,1,20,1000,5,"RI",2
"CIRG",11.3773978020917,0.02538349556918,0.5076699113836,0.234805620816391,8.18418636117934,NA,3.36359443551323,35.214567769207,NA,31.7690676873774,NA,8,-3.39435575450027,0.950000000000003,TRUE,4,0.156314639298144,"contam",0.25,2,"case3",0,1,20,1000,1,"RI",3
"CIRG",9.65541901107282,0.007703027056616,0.15406054113232,0.00996135941656139,0.000428991341779621,NA,10.0053692282661,5.06056972299556,NA,1.01076728514433,NA,2,-10.076056746454,1.48,TRUE,60,0.116991644432206,"contam",0.25,2,"case3",0,1,20,1000,2,"RI",3
"CIRG",9.8148073259212,0.0279748857357413,0.559497714714825,0.0106784264624465,4.56203494885013,NA,5.16229623130086,5.34550560470441,NA,14.7279702162876,NA,3,-5.20248008951034,0.859999999999999,TRUE,4,0.0964934985044225,"contam",0.25,2,"case3",0,1,20,1000,3,"RI",3
"CIRG",10.5894466611426,0.0237412490342232,0.474824980684463,0.0187425189033634,0.500875910864301,NA,10.217266020018,3.05943507919479,NA,1.48173656349043,NA,2,-10.2926582806832,0.700000000000003,TRUE,8,0.109735053406967,"contam",0.25,2,"case3",0,1,20,1000,4,"RI",3
"CIRG",12.8707537345861,0.0120390636728832,0.240781273457665,0.613704813375248,0.000279804053960379,NA,11.5235491127749,5.06124096004749,NA,6.36830012458722,NA,2,-11.6043849046051,1,TRUE,30,0.0947377292979493,"contam",0.25,2,"case3",0,1,20,1000,5,"RI",3
"CIRG",10.321136561018,0.00730939233900282,0.146187846780056,0.0361661306116081,0.254926521578227,NA,10.7409960016183,3.98031818430195,NA,3.03106707765093,NA,2,-10.8188868733376,0.670000000000002,TRUE,10,0.115099689659336,"contam",0.25,2,"case4",0,1,20,1000,1,"RI",4
"CIRG",9.69821792185259,0.00460586859551486,0.0921173719102973,0.0129995619562159,0.101890576485419,NA,9.98009783739263,4.61437409539214,NA,0.960591770861711,NA,2,-10.0532657788952,0.760000000000005,TRUE,16,0.124208496325124,"contam",0.25,2,"case4",0,1,20,1000,2,"RI",4
"CIRG",9.22834545674716,0.00598192721601377,0.119638544320275,0.0283475738939468,0.0500856136104885,NA,9.72636680267812,4.83962330744354,NA,0.527608732032835,NA,2,-9.79755585890005,0.929999999999993,TRUE,22,0.10764616112428,"contam",0.25,2,"case4",0,1,20,1000,3,"RI",4
"CIRG",10.6847452331476,0.00708762136488755,0.141752427297751,0.0253675454369308,0.453150792468282,NA,10.2169101462575,3.22866707460736,NA,1.48087030406446,NA,2,-10.2927196161654,0.720000000000013,TRUE,8,0.116473106509231,"contam",0.25,2,"case4",0,1,20,1000,4,"RI",4
"CIRG",12.8109044295916,0.0100428333905704,0.200856667811409,0.589072884348416,0.191176472211536,NA,11.4210851767231,4.23875431857534,NA,5.86165343294817,NA,2,-11.5043037873883,0.909999999999997,TRUE,11,0.100417375197922,"contam",0.25,2,"case4",0,1,20,1000,5,"RI",4
"CIRG",10.3144383653755,0.00272305755163177,0.0544611510326354,0.0494243397857815,0.000307866351185001,NA,10.8834092375811,5.06111469620136,NA,3.54723035620567,NA,2,-10.9605406054648,1.06,TRUE,33,0.000398908645045261,"contam",0.25,2,"case5",0,1,20,1000,1,"RI",5
"CIRG",9.69535458390526,0.00295204117869259,0.0590408235738519,0.00955928742122248,0.0628919579142433,NA,9.97139514069989,4.78344158775619,NA,0.943608519375353,NA,2,-10.0432912265598,0.769999999999996,TRUE,13,0.000437240064494619,"contam",0.25,2,"case5",0,1,20,1000,2,"RI",5
"CIRG",9.46198342206436,0.00879365440725631,0.175873088145126,0.0563432215978791,0.563688740707075,NA,9.37683932151513,2.84364566321809,NA,0.142007874239983,NA,8,-9.46662544388736,0.910000000000011,TRUE,7,0.00103901912034174,"contam",0.25,2,"case5",0,1,20,1000,3,"RI",5
"CIRG",11.0475678884314,0.00647662615734036,0.129532523146807,0.118052832212866,0.5674037397402,NA,9.92895467673903,2.83113017504026,NA,0.862956791435309,NA,13,-10.0376937912409,2.65000000000001,TRUE,8,-0.00054155042374261,"contam",0.25,2,"case5",0,1,20,1000,4,"RI",5
"CIRG",12.9834056801122,0.00776216472323557,0.155243294464711,0.582425691204931,0.283193408478907,NA,11.3689693125603,3.86832816845082,NA,5.61201560385253,NA,5,-11.4620679382982,0.989999999999995,TRUE,9,-0.00133080757846118,"contam",0.25,2,"case5",0,1,20,1000,5,"RI",5
"CIRG",11.0187463534043,0.0209277580175924,0.418555160351847,0.216159536218478,10.7205963011137,NA,2.15821432629584,71.7510016964414,NA,46.8100312049035,NA,3,-2.17416892144447,1.14,TRUE,4,0.000936011286562533,"contam",0.25,2,"case6",0,1,20,1000,1,"RI",6
"CIRG",10.1959485784972,0.0112938569535233,0.225877139070465,0.769939115775647,7.0007589042844,NA,2.23612913308513,22.5697101666375,NA,45.7499491042997,NA,5,-2.2544963373756,0.810000000000002,TRUE,4,-0.00193418622240059,"contam",0.25,2,"case6",0,1,20,1000,2,"RI",6
"CIRG",10.0497574514574,0.014155688928548,0.28311377857096,0.0631582898067264,9.75014112647071,NA,1.94984688729412,56.2521169169774,NA,49.7046589125965,NA,3,-1.96463110026416,0.719999999999999,TRUE,4,0.000216655388966129,"contam",0.25,2,"case6",0,1,20,1000,3,"RI",6
"CIRG",12.0143441771499,0.0214597422960893,0.429194845921787,0.212747424653585,8.71208709002756,NA,2.24518080728658,41.7585695591008,NA,45.6275823262496,NA,4,-2.26347582684071,1.06,TRUE,4,-0.00254973115817834,"contam",0.25,2,"case6",0,1,20,1000,4,"RI",6
"CIRG",13.4811583493397,0.0390917894914401,0.781835789828803,0.0140184636306451,11.171408939509,NA,2.27409600824979,79.5915374659502,NA,45.2377845062415,NA,3,-2.2913961621627,0.670000000000002,TRUE,4,0.000920367498545011,"contam",0.25,2,"case6",0,1,20,1000,5,"RI",6
"CIRG",10.7511532351537,0.014069813708962,0.28139627417924,0.0240637588815573,1.17561419042048,NA,10.2511068877594,1.15430486782585,NA,1.56526844459904,NA,7,-10.3428307269995,0.870000000000005,TRUE,19,-0.000287310317005489,"contam",0.25,2,"case7",0,1,20,1000,1,"RI",7
"CIRG",9.96235976474962,0.0167427044467771,0.334854088935541,0.02712911500063,0.856665492309425,NA,9.44763267492551,1.94138105032134,NA,0.200375011660964,NA,5,-9.52321648300223,0.810000000000002,TRUE,7,-0.000690070851548722,"contam",0.25,2,"case7",0,1,20,1000,2,"RI",7
"CIRG",9.38295065293693,0.0023980739563454,0.0479614791269081,0.0591719225230246,0.000242852715865352,NA,9.82674789249956,5.06140722175605,NA,0.683512077752466,NA,2,-9.89529070398249,0.990000000000009,TRUE,27,-0.000475857408967166,"contam",0.25,2,"case7",0,1,20,1000,3,"RI",7
"CIRG",10.9896159472722,0.0165794251665115,0.33158850333023,0.0848868275678502,0.756957713578785,NA,9.75441321656606,2.22917526904189,NA,0.569139301329547,NA,6,-9.8370588670699,0.940000000000012,TRUE,6,1.57564643060628e-06,"contam",0.25,2,"case7",0,1,20,1000,4,"RI",7
"CIRG",13.0679099050427,0.0100014234877381,0.200028469754763,0.703040325473334,0.819959154606341,NA,11.1702223950675,2.04501681949421,NA,4.70986524405258,NA,3,-11.2548632658047,1.09999999999999,TRUE,7,-0.000909381167549307,"contam",0.25,2,"case7",0,1,20,1000,5,"RI",7
"CIRG",10.5187851380958,0.00728495170265655,0.145699034053131,0.0452300021664208,0.174759067549605,NA,10.7443284974321,4.30662492771758,NA,3.04268190695378,NA,10,-10.9230291323879,0.949999999999989,TRUE,11,0.000721825224111739,"contam",0.25,2,"case8",0,1,20,1000,1,"RI",8
"CIRG",9.7334917470445,0.00416592638457204,0.0833185276914408,0.00845356023715082,0.000343718133768324,NA,10.0163941517143,5.0609533865402,NA,1.03305707163906,NA,2,-10.1430737473096,1.08999999999999,TRUE,38,0,"contam",0.25,2,"case8",0,1,20,1000,2,"RI",8
"CIRG",9.38301865443019,0.00553321291362413,0.110664258272483,0.0603408400162361,0.000355834647087364,NA,9.82120390463005,5.0608988707064,NA,0.674375852979637,NA,2,-9.94720518166032,1.17,TRUE,42,0.00163696055583361,"contam",0.25,2,"case8",0,1,20,1000,3,"RI",8
