"method","mis_type","rho","n","convergence_rate","MSPE_mean","MSPE_MCSE","beta_MSE_mean","beta_MSE_MCSE","beta_SSE_mean","beta_SSE_MCSE","intercept_MSE_mean","intercept_MSE_MCSE","Var_a_hat_mean","Var_a_hat_MCSE","Var_b_hat_mean","Var_b_hat_MCSE","Var_e_hat_mean","Var_e_hat_MCSE","Var_a_MSE_mean","Var_a_MSE_MCSE","Var_b_MSE_mean","Var_b_MSE_MCSE","Var_e_MSE_mean","Var_e_MSE_MCSE","G_MSE_mean","G_MSE_MCSE","selected_K_mean","selected_K_MCSE","runtime_mean","runtime_MCSE","iterations_mean","iterations_MCSE","group_ARI_mean","group_ARI_MCSE","case","R_setting","Var_a_setting","file","model"
"OBS","contam",0.25,50,1,9.23994842285212,0.0325151251483187,0.00381545994924227,0.000114275326563101,0.190772997462113,0.00571376632815504,0.0285869137273608,0.0057712547832512,0.256660032848946,0.0140131550981894,NA,NA,9.14648835195186,0.0181873724439428,0.0688363968875657,0.00579974274071976,NA,NA,0.0376670825618914,0.00622600275816806,NA,NA,20,0,0.0619000000004598,0.0016373821815002,8.3,0.206526175640014,0.569457397804223,0.000945251283675142,3,20,0.5,"RI_case3_R20_vara0.5_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.9210430306808,0.0518430266527682,0.00450771716269927,0.000155749006512374,0.225385858134963,0.00778745032561871,0.116756011159096,0.0237076525678496,1.15734729783207,0.0556904521307376,NA,NA,9.82564308079186,0.0442557460800437,1.34585982402266,0.102169388638454,NA,NA,0.777656478853434,0.0803430895525444,NA,NA,20,0,0.0379399999999441,0.00059891739083234,5.04,0.0901699076460543,0.569457397804223,0.000945251283675142,3,20,2.25,"RI_case3_R20_vara2.25_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.27843976814111,0.0323411372606573,0.0035781607035501,9.97968944165159e-05,0.178908035177505,0.00498984472082579,0.0280446354758868,0.00617717857982844,0.2683089406611,0.0104004432295933,NA,NA,9.15198115714319,0.0193172321599592,0.0589810387268095,0.00443737480028505,NA,NA,0.0413828895843505,0.00711773720194422,NA,NA,50,0,0.0977400000012131,0.00324494080328197,12.54,0.304000537056454,0.565009465732287,0.000990438950699169,3,50,0.5,"RI_case3_R50_vara0.5_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,10.01336980619,0.043106086786082,0.00388331721021164,0.000101037205190681,0.194165860510582,0.00505186025953407,0.114095423940509,0.0228532177068071,1.2008907156009,0.0371398179755006,NA,NA,9.86230726914697,0.0376768592660427,1.16821922849581,0.0736682326021587,NA,NA,0.813131566907213,0.0720200949351365,NA,NA,50,0,0.0512399999998161,0.00103984300214063,6.44,0.0910707282886242,0.565009465732287,0.000990438950699169,3,50,2.25,"RI_case3_R50_vara2.25_contam_rho25.rds","RI"
"CPF","contam",0.25,50,1,9.21030279150401,0.038141126198938,0.00207623193329262,6.37295029303483e-05,0.103811596664631,0.00318647514651742,0.162361471549439,0.0295791084701047,0.226820939347452,0.0145847417751172,NA,NA,9.12060746290572,0.019893602070936,0.085049819118704,0.00717801272212243,NA,NA,0.0339381748730354,0.00679467662974683,NA,NA,9.18,0.084225159845621,0.34272000000002,0.0123979603325689,6.86,0.200020407122139,0.553016419967091,0.00414717106181701,4,10,0.5,"RI_case4_R10_vara0.5_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.80837259770322,0.0691351662694124,0.00234515528821092,6.57023275757883e-05,0.117257764410546,0.00328511637878941,0.638834555725647,0.12035565439115,1.00926664837722,0.0602178089039388,NA,NA,9.71986936244293,0.0561858163335196,1.71710229077946,0.139962870288565,NA,NA,0.67289735088013,0.0974862181448248,NA,NA,10,0,0.0429799999998795,0.00141752586993308,4.68,0.0966373401445015,0.574747545000269,0.00158701924397907,4,10,2.25,"RI_case4_R10_vara2.25_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.24503651118609,0.0327027532698448,0.00199489588720137,6.55638731924159e-05,0.0997447943600687,0.00327819365962079,0.0286016682135243,0.00572882381512507,0.258146145203842,0.0140790526466989,NA,NA,9.14825722011596,0.017805110784236,0.0682060535277587,0.00586943388124587,NA,NA,0.0375142798484181,0.00618558602727111,NA,NA,20,0,0.0828000000001339,0.00179113463099566,8.34,0.190830622622818,0.569457397804223,0.000945251283675142,4,20,0.5,"RI_case4_R20_vara0.5_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.92089429106227,0.0523814905068679,0.00216344659498623,7.22930470990248e-05,0.108172329749312,0.00361465235495124,0.116843972751864,0.0236155149443534,1.16221621988589,0.0558045160426893,NA,NA,9.82508768550489,0.0438835724512827,1.33586660880652,0.102672726151457,NA,NA,0.775132317395084,0.0799433088275998,NA,NA,20,0,0.0542000000001281,0.00101579364760779,5.1,0.0914732033918978,0.569457397804223,0.000945251283675142,4,20,2.25,"RI_case4_R20_vara2.25_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.26826946254884,0.0324004363260246,0.0019854042416851,6.2851630563522e-05,0.0992702120842552,0.0031425815281761,0.0282757762352561,0.00611129359089042,0.267487062095642,0.0103736023867801,NA,NA,9.15313795324664,0.019207359719387,0.0593352359903873,0.00445450916729012,NA,NA,0.041528443426676,0.00718954215110193,NA,NA,50,0,0.133520000000135,0.0043823616779391,12.54,0.301303291501085,0.565009465732287,0.000990438950699169,4,50,0.5,"RI_case4_R50_vara0.5_contam_rho25.rds","RI"
"CPF","contam",0.25,50,1,9.225436730153,0.0354207494083874,0.000946536162305814,2.24841025806933e-05,0.0473268081152907,0.00112420512903466,0.0548489467158909,0.0136486102825424,0.239473782377768,0.0152923352477071,NA,NA,9.14456211301556,0.0192271415043279,0.0793328304176315,0.00704378536769695,NA,NA,0.0390126700704692,0.00672990296881083,NA,NA,9.34,0.0930656998565847,0.32105999999982,0.0218331410699476,6.52,0.171999050780485,0.552885190239966,0.00508733834201224,5,10,0.5,"RI_case5_R10_vara0.5_contam_rho25.rds","RI"
