"method","mis_type","rho","n","convergence_rate","MSPE_mean","MSPE_MCSE","beta_MSE_mean","beta_MSE_MCSE","beta_SSE_mean","beta_SSE_MCSE","intercept_MSE_mean","intercept_MSE_MCSE","Var_a_hat_mean","Var_a_hat_MCSE","Var_b_hat_mean","Var_b_hat_MCSE","Var_e_hat_mean","Var_e_hat_MCSE","Var_a_MSE_mean","Var_a_MSE_MCSE","Var_b_MSE_mean","Var_b_MSE_MCSE","Var_e_MSE_mean","Var_e_MSE_MCSE","G_MSE_mean","G_MSE_MCSE","selected_K_mean","selected_K_MCSE","runtime_mean","runtime_MCSE","iterations_mean","iterations_MCSE","group_ARI_mean","group_ARI_MCSE","case","R_setting","Var_a_setting","file"
"KM","contam",0.25,50,1,10.9852939059542,0.142068141618071,0.00435403600957071,0.000140397247340914,0.217701800478536,0.00701986236704572,0.238669092431662,0.0488352824344661,0.000164248316817863,1.42004669427041e-06,NA,NA,10.8778522992104,0.128483292640526,5.06176090965064,6.38972968253604e-06,NA,NA,4.33521912554951,0.560354431307197,NA,NA,2,0,199.80254,4.3924129180463,22.58,1.14823378121641,7.58728112981664e-05,6.20599855098823e-05,1,10,2.25,"RI_case1_R10_vara2.25_contam_rho25.rds"
"LM","contam",0.25,50,1,10.985290480817,0.142068382732352,0.00435444008451548,0.000140404771650553,0.217722004225774,0.00702023858252764,0.238668741919835,0.0488352946490764,0,0,NA,NA,10.8777348118281,0.128482816598211,5.0625,0,NA,NA,4.33477189744062,0.560321617807944,NA,NA,1,0,0.00818000000006578,0.000220740867513025,1,0,NA,NA,1,10,2.25,"RI_case1_R10_vara2.25_contam_rho25.rds"
"OBS","contam",0.25,50,1,9.88687578380326,0.0706693239272016,0.00385894452000408,0.000122699471465876,0.192947226000204,0.0061349735732938,0.223357601632241,0.058123032681798,1.05678857674243,0.0627692958947905,NA,NA,9.80964383937491,0.0593497010705531,1.61681274144162,0.138477579692798,NA,NA,0.828120110478784,0.111764406841552,NA,NA,10,0,0.0396399999996356,0.00123081522677617,4.62,0.0851888658050033,0.574747545000269,0.00158701924397907,1,10,2.25,"RI_case1_R10_vara2.25_contam_rho25.rds"
"ORACLE","contam",0.25,50,1,9.03874649446523,0.0320993264512902,0.00360485557804293,0.000105477497147952,0.180242778902147,0.00527387485739762,0.229749288175901,0.0603688300067024,1.88901011888107,0.111173835960635,NA,NA,8.95053121094576,0.0164994264938378,0.735935162578163,0.107435224945677,NA,NA,0.015786483747145,0.00248188277474162,NA,NA,10,0,0.03566000000028,0.000464766783740259,4.26,0.0626620348556037,1,0,1,10,2.25,"RI_case1_R10_vara2.25_contam_rho25.rds"
"BLM","contam",0.25,50,1,9.25371931211082,0.0333118739103075,0.00376403536769132,0.000111709931140502,0.188201768384566,0.0055854965570251,0.0475747262965809,0.00962295962291967,0.403253892087465,0.0242552006105764,NA,NA,9.14577692421825,0.0186102617373499,0.0381872324725298,0.00835572787146593,NA,NA,0.0382216618892335,0.00622990335303203,NA,NA,7,0,0.0622600000002421,0.00171614423051895,5.94,0.14116136373755,0.258998968733212,0.00522807744428637,1,20,0.5,"RI_case1_R20_vara0.5_contam_rho25.rds"
"CIRG","contam",0.25,50,1,10.6300880896416,0.0689060782181361,0.0079148234460417,0.000264491736188749,0.395741172302085,0.0132245868094374,0.0346636800553768,0.00620519405308898,6.83049719655896,0.101720238327029,NA,NA,2.72234591823289,0.0731964180975674,40.5821980930209,1.30223185092401,NA,NA,39.6714688358206,0.897708060924996,NA,NA,3.68,0.208864764371395,132.082800000001,28.7674098451986,3.74,0.0626620348556037,-2.10750939444491e-05,7.84075457828557e-05,1,20,0.5,"RI_case1_R20_vara0.5_contam_rho25.rds"
"CPF","contam",0.25,50,1,9.251451201657,0.0332256113994771,0.00376578248748691,0.000112279095657262,0.188289124374346,0.00561395478286311,0.0318195042952972,0.00682901888481168,0.297264092430148,0.0159023930867994,NA,NA,9.15222647461927,0.0186078081634788,0.0534932674066389,0.00559953474456605,NA,NA,0.0401391752828038,0.0064614529105409,NA,NA,14.04,0.193696585790609,0.356519999999873,0.00514573252939898,6.84,0.146691401748496,0.45485643641646,0.00853210805386904,1,20,0.5,"RI_case1_R20_vara0.5_contam_rho25.rds"
"KM","contam",0.25,50,1,9.49822572190326,0.0406029183679135,0.00388467772111235,0.000123573243529762,0.194233886055618,0.00617866217648812,0.0359688758584006,0.00653288472354953,0.000152505575272259,2.4888478924572e-06,NA,NA,9.42511418401367,0.0270835750471169,0.249847517986202,2.48794774371537e-06,NA,NA,0.216664551278917,0.0237053657271337,NA,NA,2,0,188.47338,3.55881452824403,24.08,2.08372507881477,2.69560668569231e-05,4.64910761132212e-05,1,20,0.5,"RI_case1_R20_vara0.5_contam_rho25.rds"
"LM","contam",0.25,50,1,9.49824157151595,0.0406050380430249,0.003884313782098,0.000123516425577288,0.1942156891049,0.00617582127886439,0.0359650568760803,0.00653219358675416,0,0,NA,NA,9.42501663815819,0.0270808042185332,0.25,0,NA,NA,0.216574270610294,0.0236973931550386,NA,NA,1,0,0.0101799999996729,0.00154673850407995,1,0,NA,NA,1,20,0.5,"RI_case1_R20_vara0.5_contam_rho25.rds"
"OBS","contam",0.25,50,1,9.25115730562215,0.0332874191138664,0.00376641586409279,0.000112623832486243,0.188320793204639,0.00563119162431216,0.0287300145996581,0.00611852963565331,0.266041717510736,0.0144292495107776,NA,NA,9.15847547604344,0.0186273131986291,0.0649384367760955,0.00562834038632314,NA,NA,0.0421163395601863,0.00667124390528606,NA,NA,20,0,0.0578199999997742,0.00117653590458123,8.06,0.186065601773314,0.569457397804223,0.000945251283675142,1,20,0.5,"RI_case1_R20_vara0.5_contam_rho25.rds"
