"method","mis_type","rho","n","convergence_rate","MSPE_mean","MSPE_MCSE","beta_MSE_mean","beta_MSE_MCSE","beta_SSE_mean","beta_SSE_MCSE","intercept_MSE_mean","intercept_MSE_MCSE","Var_a_hat_mean","Var_a_hat_MCSE","Var_b_hat_mean","Var_b_hat_MCSE","Var_e_hat_mean","Var_e_hat_MCSE","Var_a_MSE_mean","Var_a_MSE_MCSE","Var_b_MSE_mean","Var_b_MSE_MCSE","Var_e_MSE_mean","Var_e_MSE_MCSE","G_MSE_mean","G_MSE_MCSE","selected_K_mean","selected_K_MCSE","runtime_mean","runtime_MCSE","iterations_mean","iterations_MCSE","group_ARI_mean","group_ARI_MCSE","model","case","lambda"
"CIRG","contam",0.25,5,1,14.419014744632,0.635922548364104,0.00978550708786287,0.00145170212748781,0.195710141757257,0.0290340425497561,0.165627945222538,0.109974676551963,0.000226926197768876,1.08173948844699e-05,0.000369888899070688,2.72221279925726e-05,12.1354475799634,0.267088510114082,5.0614788840736,4.86734191981992e-05,0.00992616200216053,5.4243450926124e-06,10.1163766156382,1.77684956460409,0.0119274424583148,2.91278595301346e-07,2,0,3.704,0.689388134507689,42,2.19089023002066,-0.000177768505827266,0.000319948224177987,"RS",9,0
"CIRG","contam",0.25,5,1,12.1088279524541,0.690445715283765,0.0267067278975649,0.00422825707712273,0.534134557951298,0.0845651415424546,0.147168250597888,0.110057809450631,8.57797563499078,0.531064234712263,0.00337807597806652,0.00164992958630883,3.05285964014039,0.433663814902456,41.1713925225991,6.3732667173413,0.0093466852722594,0.000314957383834846,36.120735677294,4.98060343033775,0.0937830526713022,0.0144420302216423,3.2,0.489897948556636,2.352,0.304243323673671,40.4,7.48064168370602,0.000331654637462799,0.000670984853177087,"RS",1,1
"CIRG","contam",0.25,5,1,12.6625772013837,0.722570735855169,0.01310375196496,0.0020356897431166,0.262075039299201,0.0407137948623321,0.158100410554157,0.102474952957469,0.0538992984746842,0.0334290329031382,0.000415427083667092,9.58377101202677e-05,12.2489431342568,0.328795772901004,4.82732829220334,0.145701530699616,0.00991712390239515,1.90759541705708e-05,10.9880581307444,2.40312925955748,0.0113960788441071,0.000330694803213971,3.2,0.58309518948453,4.69799999999998,0.93710938529075,111.4,30.7645900346486,-0.000590828962496304,9.01549040970752e-05,"RS",2,1
"CIRG","contam",0.25,5,1,12.1659333258878,0.558031879536771,0.0163505574926082,0.00169224972415288,0.327011149852165,0.0338449944830576,0.173838718600544,0.147433345931643,3.50259337481637,2.13729949797002,0.00764235075132802,0.00238208889280818,7.95255153423893,2.01847148641565,19.8411867387254,9.09283318510559,0.00855263276471368,0.000439667286134073,17.3940568543173,7.56901579571039,0.0453792276508384,0.0206040058652945,4.4,1.6,4.224,0.634165593516394,76.8,18.8743211798464,0.108109574549576,0.00975443305071767,"RS",3,1
"CIRG","contam",0.25,5,1,14.578440354145,0.445367369428803,0.0149047825613491,0.00289591283915726,0.298095651226982,0.0579182567831451,0.195856069127814,0.176671911232641,0.465310947099378,0.222574918813454,0.00408767974300844,0.00073502711357006,13.9914746852756,0.501965623100056,3.38327339348258,0.69437915399937,0.00920133423651045,0.000141154142817056,25.9226974808436,5.02521112120636,0.00808911582361177,0.00157315389235723,2.6,0.6,3.64800000000001,1.27013936243233,50.6,10.9252002269981,0.138256978855573,0.0240624938339368,"RS",4,1
"CIRG","contam",0.25,5,1,13.2005064544751,0.674606248541681,0.0122339139684346,0.00184637382843243,0.244678279368691,0.0369274765686486,0.16201787637833,0.0905034277515291,0.221198001713569,0.059792708306983,0.000572216292405047,0.000171981004337085,12.5795516917906,0.23709285820782,4.13033822011775,0.24386950285086,0.0098860024828677,3.41659849669014e-05,13.0380424078539,1.78573409692213,0.00981419108792541,0.000551467529007943,3.4,0.678232998312527,4.43800000000001,0.947614900684879,130.8,33.1984939417438,0.000687055372330607,0.000320337384356121,"RS",5,1
"CIRG","contam",0.25,5,0.4,14.4418894635865,0.599199522240746,0.0302510119631361,0.00283235790653168,0.605020239262723,0.0566471581306337,1.44501958723935,0.712683904354499,9.06105615682489,0.491827517246133,0.0026159528250459,0.00215484470593423,3.99839897050827,0.553828753122089,47.3580631983042,7.31171330103248,0.00950222606700046,0.000406196951158984,26.2429180093519,5.79424200566142,0.10781883836654,0.0165624158873259,3.2,0.734846922834953,10.984,1.77215292793823,248.2,51.0533054757476,-0.00101863387481456,0.000868777248528209,"RS",6,1
"CIRG","contam",0.25,5,0.6,20.2664626220667,1.16580077472527,0.0299302050784547,0.0108884252778321,0.598604101569094,0.217768505556642,0.276385119794857,0.21623209017378,1.24479235500706,0.992903786470747,0.00972437711537392,0.0090923372447918,18.5274257039811,1.68049219881844,4.95387412630405,1.05472615272131,0.00848037047349934,0.00139509363796311,102.068056666038,34.9768902602194,0.0116178719632064,0.00234076513944338,4,1.04880884817015,8.826,1.10272662069981,185.8,51.8250904485462,-0.000481488922140924,0.000564362441067821,"RS",7,1
"CIRG","contam",0.25,5,1,17.0247315275695,0.666157240580027,0.013105739823755,0.00203708725906378,0.2621147964751,0.0407417451812756,0.15772632373385,0.102606745320678,0.0538935438553134,0.0334313462699105,0.000364189577865546,9.7723711908979e-05,12.250352053168,0.328337022461924,4.82735418637405,0.145711950389104,0.00992733291817099,1.94492402180468e-05,10.9960092708102,2.40062169342386,0.0113966005549602,0.000330904534373356,3,0.632455532033676,5.08599999999999,0.95568614094797,94.4,28.3788653754867,-0.000377079618835399,0.000472966152809664,"RS",8,1
"CIRG","contam",0.25,5,0.6,14.9414460287551,0.713464692960888,0.0302735398768163,0.00824106080463749,0.605470797536326,0.16482121609275,0.158066342791493,0.11645349012544,1.35773907021664,0.672570248758739,0.00174150111541097,0.0013418562888335,11.2352599973836,0.514737259107385,2.60553252487944,0.968071856576621,0.00966193491625231,0.000258296503517366,6.0562050395569,2.08399534645688,0.0063464200072664,0.00219684931595251,4.4,1.0295630140987,7.63199999999997,2.11403263929392,166.4,58.2499785407686,0.000664953653819537,0.000238574322880791,"RS",9,1
